,case_name,topic,sub_topic,wiki_url,justia_link,holding
76,Jackson v. Indiana,Individual rights,Other areas,https://www.wikipedia.org/wiki/Jackson_v._Indiana,https://supreme.justia.com/cases/federal/us/406/715/,"Jackson v. Indiana, 406 U.S. 715 (1972), a U.S. state violates due process by involuntarily committing a criminal defendant for an indefinite period of time solely on the basis of his permanent incompetency to stand trial on the charges filed against him."
77,Gates v. Collier,Individual rights,Other areas,https://www.wikipedia.org/wiki/Gates_v._Collier,,"Gates v. Collier, 501 F.2d 1291 (5th Circuit 1974) A variety of forms of corporal punishment against prisoners constituted cruel and unusual punishment and a violation of Eighth Amendment rights thus ending the Trusty system and the flagrant inmate abuse that accompanied it at in states using the trusty system as a replacement for the convict lease system."
78,O'Connor v. Donaldson,Individual rights,Other areas,https://www.wikipedia.org/wiki/O%27Connor_v._Donaldson,https://supreme.justia.com/cases/federal/us/422/563/,"O'Connor v. Donaldson, 422 U.S. 563 (1975) The states cannot involuntarily commit individuals if they are not a danger to themselves or others and are capable of living by themselves or with the aid of responsible family members or friends."
79,Addington v. Texas,Individual rights,Other areas,https://www.wikipedia.org/wiki/Addington_v._Texas,https://supreme.justia.com/cases/federal/us/441/418/,"Addington v. Texas, 441 U.S. 418 (1979), a ""clear and convincing"" standard of proof is required by the Fourteenth Amendment in a civil proceeding brought under state law to commit an individual involuntarily for an indefinite period to a state mental hospital."
80,Mapp v. Ohio,Criminal law,Fourth Amendment Rights: Freedom from unreasonable searches and seizures,https://www.wikipedia.org/wiki/Mapp_v._Ohio,https://supreme.justia.com/cases/federal/us/367/643/,"Mapp v. Ohio, 367 U.S. 643 (1961) Evidence that is obtained in violation of the Fourth Amendment is inadmissible in state court. Notable for expanding the ""exclusionary rule"" originally articulated against only the Federal government in Weeks v. United States, 232 U.S. 383 (1914)."
81,Schmerber v. California,Criminal law,Fourth Amendment Rights: Freedom from unreasonable searches and seizures,https://www.wikipedia.org/wiki/Schmerber_v._California,https://supreme.justia.com/cases/federal/us/384/757/,"Schmerber v. California, 384 U.S. 757 (1966) The application of the Fourth Amendment's protection against warrantless searches and the Fifth Amendment privilege against self incrimination to searches that intrude into the human body means that police may not conduct warrantless blood testing on suspects absent an emergency that justifies acting without a warrant."
82,Katz v. United States,Criminal law,Fourth Amendment Rights: Freedom from unreasonable searches and seizures,https://www.wikipedia.org/wiki/Katz_v._United_States,https://supreme.justia.com/cases/federal/us/389/347/,"Katz v. United States, 389 U.S. 347 (1967) The Fourth Amendment's ban on unreasonable searches and seizures applies to all places where an individual has a ""reasonable expectation of privacy."""
83,Terry v. Ohio,Criminal law,Fourth Amendment Rights: Freedom from unreasonable searches and seizures,https://www.wikipedia.org/wiki/Terry_v._Ohio,https://supreme.justia.com/cases/federal/us/392/1/,"Terry v. Ohio, 392 U.S. 1 (1968) Police may stop a person if they have a reasonable suspicion that the person has committed or is about to commit a crime and frisk the suspect for weapons if they have a reasonable suspicion that the suspect is armed and dangerous without violating the Fourth Amendment."
84,Bivens v. Six Unknown Named Agents,Criminal law,Fourth Amendment Rights: Freedom from unreasonable searches and seizures,https://www.wikipedia.org/wiki/Bivens_v._Six_Unknown_Named_Agents,https://supreme.justia.com/cases/federal/us/403/388/,"Bivens v. Six Unknown Named Agents, 403 U.S. 388 (1971) Individuals may sue federal government officials who have violated their Fourth Amendment rights even though such a suit is not authorized by law. The existence of a remedy for the violation is implied from the importance of the right that is violated."
85,United States v. United States District Court for the Eastern District of Michigan,Criminal law,Fourth Amendment Rights: Freedom from unreasonable searches and seizures,https://www.wikipedia.org/wiki/United_States_v._U.S._District_Court,https://supreme.justia.com/cases/federal/us/407/297/,"United States v. United States District Court for the Eastern District of Michigan, 407 U.S. 297 (1972) Government officials must obtain a warrant before beginning electronic surveillance even if domestic security issues are involved. The ""inherent vagueness of the domestic security concept"" and the potential for abusing it to quell political dissent make the Fourth Amendment's protections especially important when the government engages in spying on its own citizens."
86,Illinois v. Gates,Criminal law,Fourth Amendment Rights: Freedom from unreasonable searches and seizures,https://www.wikipedia.org/wiki/Illinois_v._Gates,https://supreme.justia.com/cases/federal/us/462/213/,"Illinois v. Gates, 462 U.S. 213 (1983) The totality of the circumstances, rather than a rigid test, must be used in finding probable cause under the Fourth Amendment."
87,New Jersey v. T. L. O.,Criminal law,Fourth Amendment Rights: Freedom from unreasonable searches and seizures,https://www.wikipedia.org/wiki/New_Jersey_v._T._L._O.,https://supreme.justia.com/cases/federal/us/469/325/,"New Jersey v. T. L. O., 469 U.S. 325 (1985) The Fourth Amendment's ban on unreasonable searches applies to those conducted by public school officials as well as those conducted by law enforcement personnel, but public school officials can use the less strict standard of reasonable suspicion instead of probable cause."
88,Vernonia School District 47J v. Acton,Criminal law,Fourth Amendment Rights: Freedom from unreasonable searches and seizures,https://www.wikipedia.org/wiki/Vernonia_School_District_47J_v._Acton,https://supreme.justia.com/cases/federal/us/515/646/,"Vernonia School District 47J v. Acton, 515 U.S. 646 (1995) Schools may implement random drug testing upon students participating in school-sponsored athletics."
89,Board of Education v. Earls,Criminal law,Fourth Amendment Rights: Freedom from unreasonable searches and seizures,https://www.wikipedia.org/wiki/Board_of_Education_v._Earls,https://supreme.justia.com/cases/federal/us/536/822/,"Board of Education v. Earls, 536 U.S. 822 (2002) Coercive drug testing imposed by school districts upon students who participate in extracurricular activities does not violate the Fourth Amendment."
90,Georgia v. Randolph,Criminal law,Fourth Amendment Rights: Freedom from unreasonable searches and seizures,https://www.wikipedia.org/wiki/Georgia_v._Randolph,https://supreme.justia.com/cases/federal/us/547/103/,"Georgia v. Randolph, 547 U.S. 103 (2006) Police cannot conduct a warrantless search in a home where one occupant consents and the other objects."
91,In re Directives,Criminal law,Fourth Amendment Rights: Freedom from unreasonable searches and seizures,https://www.wikipedia.org/wiki/United_States_Foreign_Intelligence_Surveillance_Court_of_Review#In_re_Directives,,"In re Directives, (2008) According to the United States Foreign Intelligence Surveillance Court of Review, an exception to the Fourth Amendment’s warrant requirement exists when surveillance is conducted to obtain foreign intelligence for national security purposes and is directed against foreign powers or agents of foreign powers reasonably believed to be located outside the United States.[2]"
92,United States v. Jones,Criminal law,Fourth Amendment Rights: Freedom from unreasonable searches and seizures,https://www.wikipedia.org/wiki/United_States_v._Jones_(2012),https://supreme.justia.com/cases/federal/us/565/400/,"United States v. Jones, 565 U.S. 400 (2012) Attaching a GPS device to a vehicle and then using the device to monitor the vehicle’s movements constitutes a search under the Fourth Amendment."
93,Riley v. California,Criminal law,Fourth Amendment Rights: Freedom from unreasonable searches and seizures,https://www.wikipedia.org/wiki/Riley_v._California,https://supreme.justia.com/cases/federal/us/573/___/,"Riley v. California, 573 U.S. ___ (2014) Police must obtain a warrant in order to search digital information on a cell phone seized from an individual who has been arrested."
94,Carpenter v. United States,Criminal law,Fourth Amendment Rights: Freedom from unreasonable searches and seizures,https://www.wikipedia.org/wiki/Carpenter_v._United_States,https://supreme.justia.com/cases/federal/us/585/___/,"Carpenter v. United States, 585 U.S. ___ (2018) Government acquisition of cell-site records is a Fourth Amendment search, and, thus, generally requires a warrant."
95,Glasser v. United States,Criminal law,Right to an attorney,https://www.wikipedia.org/wiki/Glasser_v._United_States,https://supreme.justia.com/cases/federal/us/315/60/,"Glasser v. United States, 315 U.S. 60 (1942) A defense lawyer's conflict of interest arising from a simultaneous representation of codefendants violates the Assistance of Counsel Clause of the Sixth Amendment."
96,Betts v. Brady,Criminal law,Right to an attorney,https://www.wikipedia.org/wiki/Betts_v._Brady,https://supreme.justia.com/cases/federal/us/316/455/,"Betts v. Brady, 316 U.S. 455 (1942) Indigent defendants may be denied counsel when prosecuted by a state (overruled by Gideon v. Wainwright (1963))."
97,Gideon v. Wainwright,Criminal law,Right to an attorney,https://www.wikipedia.org/wiki/Gideon_v._Wainwright,https://supreme.justia.com/cases/federal/us/372/335/,"Gideon v. Wainwright, 372 U.S. 335 (1963) All defendants have the right to an attorney and must be provided one by the state if they are unable to afford legal counsel."
98,Escobedo v. Illinois,Criminal law,Right to an attorney,https://www.wikipedia.org/wiki/Escobedo_v._Illinois,https://supreme.justia.com/cases/federal/us/378/478/,"Escobedo v. Illinois, 378 U.S. 478 (1964) A person in police custody has the right to speak to an attorney."
99,Miranda v. Arizona,Criminal law,Right to an attorney,https://www.wikipedia.org/wiki/Miranda_v._Arizona,https://supreme.justia.com/cases/federal/us/384/436/,"Miranda v. Arizona, 384 U.S. 436 (1966) Police must advise criminal suspects of their rights under the Constitution to remain silent, to consult with a lawyer, and to have one appointed to them if they are indigent. A police interrogation must stop if the suspect states that he or she wishes to remain silent."
100,In re Gault,Criminal law,Right to an attorney,https://www.wikipedia.org/wiki/In_re_Gault,https://supreme.justia.com/cases/federal/us/387/1/,"In re Gault, 387 U.S. 1 (1967) Juvenile defendants are protected under the Due Process Clause of the Fourteenth Amendment."
101,Michigan v. Jackson,Criminal law,Right to an attorney,https://www.wikipedia.org/wiki/Michigan_v._Jackson,https://supreme.justia.com/cases/federal/us/475/625/,"Michigan v. Jackson, 475 U.S. 625 (1986) If a police interrogation begins after a defendant asserts his or her right to counsel at an arraignment or similar proceeding, then any waiver of that right for that police-initiated interrogation is invalid (overruled by Montejo v. Louisiana (2009))."
102,Montejo v. Louisiana,Criminal law,Right to an attorney,https://www.wikipedia.org/wiki/Montejo_v._Louisiana,https://supreme.justia.com/cases/federal/us/556/778/,"Montejo v. Louisiana, 556 U.S. 778 (2009) A defendant may waive his or her right to counsel during a police interrogation even if the interrogation begins after the defendant's assertion of his or her right to counsel at an arraignment or similar proceeding."
103,Strickland v. Washington,Criminal law,Other rights regarding counsel,https://www.wikipedia.org/wiki/Strickland_v._Washington,https://supreme.justia.com/cases/federal/us/466/668/,"Strickland v. Washington, 466 U.S. 668 (1984) To obtain relief due to ineffective assistance of counsel, a criminal defendant must show that counsel's performance fell below an objective standard of reasonableness and that counsel's deficient performance gives rise to a reasonable probability that, if counsel had performed adequately, the result of the proceeding would have been different."
104,Padilla v. Kentucky,Criminal law,Other rights regarding counsel,https://www.wikipedia.org/wiki/Padilla_v._Kentucky,https://supreme.justia.com/cases/federal/us/559/356/,"Padilla v. Kentucky, 559 U.S. 356 (2010) Criminal defense attorneys are duty-bound to inform clients of the risk of deportation under three circumstances. First, where the law is unambiguous, attorneys must advise their criminal clients that deportation ""will"" result from a conviction. Second, where the immigration consequences of a conviction are unclear or uncertain, attorneys must advise that deportation ""may"" result. Finally, attorneys must give their clients some advice about deportation—counsel cannot remain silent about immigration consequences."
105,Berghuis v. Thompkins,Criminal law,Right to remain silent,https://www.wikipedia.org/wiki/Berghuis_v._Thompkins,https://supreme.justia.com/cases/federal/us/560/370/,"Berghuis v. Thompkins, 560 U.S. 370 (2010) The right to remain silent does not exist unless a suspect invokes it unambiguously."
106,Salinas v. Texas,Criminal law,Right to remain silent,https://www.wikipedia.org/wiki/Berghuis_v._Thompkins#Subsequent_ruling_in_Salinas_v._Texas,https://supreme.justia.com/cases/federal/us/570/178/,"Salinas v. Texas, 570 U.S. 178 (2013) The Fifth Amendment's protection against self-incrimination does not protect an individual's refusal to answer questions asked by law enforcement before he or she has been arrested or given the Miranda warning. A witness cannot invoke the privilege by simply standing mute; he or she must expressly invoke it."
107,Dusky v. United States,Criminal law,Competence,https://www.wikipedia.org/wiki/Dusky_v._United_States,https://supreme.justia.com/cases/federal/us/362/402/,"Dusky v. United States, 362 U.S. 402 (1960) A defendant has the right to a competency evaluation before proceeding to trial."
108,Rogers v. Okin,Criminal law,Competence,https://www.wikipedia.org/wiki/Rogers_v._Okin,,"Rogers v. Okin, 478 F. Supp. 1342 (D. Mass. 1979) The competence of a committed patient is presumed until he or she is adjudicated incompetent."
109,Ford v. Wainwright,Criminal law,Competence,https://www.wikipedia.org/wiki/Ford_v._Wainwright,https://supreme.justia.com/cases/federal/us/477/399/,"Ford v. Wainwright, 477 U.S. 399 (1986) A defendant has the right to a competency evaluation before being executed."
110,Godinez v. Moran,Criminal law,Competence,https://www.wikipedia.org/wiki/Godinez_v._Moran,https://supreme.justia.com/cases/federal/us/509/389/,"Godinez v. Moran, 509 U.S. 389 (1993) A defendant who is competent to stand trial is automatically competent to plead guilty or waive the right to legal counsel."
111,Rasul v. Bush,Criminal law,Detainment of terrorism suspects,https://www.wikipedia.org/wiki/Rasul_v._Bush,https://supreme.justia.com/cases/federal/us/542/466/,"Rasul v. Bush, 542 U.S. 466 (2004) The federal court system has the authority to decide if foreign nationals held at Guantanamo Bay were wrongfully imprisoned."
112,Hamdi v. Rumsfeld,Criminal law,Detainment of terrorism suspects,https://www.wikipedia.org/wiki/Hamdi_v._Rumsfeld,https://supreme.justia.com/cases/federal/us/542/507/,"Hamdi v. Rumsfeld, 542 U.S. 507 (2004) The federal government has the power to detain those it designates as enemy combatants, including United States citizens, but detainees that are United States citizens must have the rights of due process and the ability to challenge their enemy combatant status before an impartial authority."
113,Hamdan v. Rumsfeld,Criminal law,Detainment of terrorism suspects,https://www.wikipedia.org/wiki/Hamdan_v._Rumsfeld,https://supreme.justia.com/cases/federal/us/548/557/,"Hamdan v. Rumsfeld, 548 U.S. 557 (2006) The military commissions set up by the Bush administration to try detainees at Guantanamo Bay are illegal because they lack the protections that are required by the Geneva Conventions and the Uniform Code of Military Justice."
114,Boumediene v. Bush,Criminal law,Detainment of terrorism suspects,https://www.wikipedia.org/wiki/Boumediene_v._Bush,https://supreme.justia.com/cases/federal/us/553/723/,"Boumediene v. Bush, 553 U.S. 723 (2008) Foreign terrorism suspects held at Guantanamo Bay have the constitutional right to challenge their detention in United States courts."
115,Furman v. Georgia,Criminal law,Capital punishment,https://www.wikipedia.org/wiki/Furman_v._Georgia,https://supreme.justia.com/cases/federal/us/408/238/,"Furman v. Georgia, 408 U.S. 238 (1972) The arbitrary and inconsistent imposition of the death penalty violates the Eighth and Fourteenth Amendments and constitutes cruel and unusual punishment. This decision initiates a nationwide de facto moratorium on executions that lasts until the Supreme Court's decision in Gregg v. Georgia (1976)."
116,Gregg v. Georgia,Criminal law,Capital punishment,https://www.wikipedia.org/wiki/Gregg_v._Georgia,https://supreme.justia.com/cases/federal/us/428/153/,"Gregg v. Georgia, 428 U.S. 153 (1976) Georgia's new death penalty statute is constitutional because it adequately narrows the class of defendants eligible for the death penalty. This case and the next four cases were consolidated and decided simultaneously. By evaluating the new death penalty statutes that had been passed by the states, the Supreme Court ended the moratorium on executions that began with its decision in Furman v. Georgia (1972)."
117,Proffitt v. Florida,Criminal law,Capital punishment,https://www.wikipedia.org/wiki/Proffitt_v._Florida,https://supreme.justia.com/cases/federal/us/428/242/,"Proffitt v. Florida, 428 U.S. 242 (1976) Florida's new death penalty statute is constitutional because it requires the comparison of aggravating factors to mitigating factors in order to impose a death sentence."
118,Jurek v. Texas,Criminal law,Capital punishment,https://www.wikipedia.org/wiki/Jurek_v._Texas,https://supreme.justia.com/cases/federal/us/428/262/,"Jurek v. Texas, 428 U.S. 262 (1976) Texas's new death penalty statute is constitutional because it uses a three-part test to determine if a death sentence should be imposed."
119,Woodson v. North Carolina,Criminal law,Capital punishment,https://www.wikipedia.org/wiki/Woodson_v._North_Carolina,https://supreme.justia.com/cases/federal/us/428/280/,"Woodson v. North Carolina, 428 U.S. 280 (1976) North Carolina's new death penalty statute is unconstitutional because it calls for a mandatory death sentence to be imposed."
120,Roberts v. Louisiana,Criminal law,Capital punishment,https://www.wikipedia.org/wiki/Roberts_v._Louisiana,https://supreme.justia.com/cases/federal/us/428/325/,"Roberts v. Louisiana, 428 U.S. 325 (1976) Louisiana's new death penalty statute is unconstitutional because it calls for a mandatory death sentence for a large range of crimes."
121,Coker v. Georgia,Criminal law,Capital punishment,https://www.wikipedia.org/wiki/Coker_v._Georgia,https://supreme.justia.com/cases/federal/us/433/584/,"Coker v. Georgia, 433 U.S. 584 (1977) A death sentence may not be imposed for the crime of rape."
122,Enmund v. Florida,Criminal law,Capital punishment,https://www.wikipedia.org/wiki/Enmund_v._Florida,https://supreme.justia.com/cases/federal/us/458/782/,"Enmund v. Florida, 458 U.S. 782 (1982) A death sentence may not be imposed on offenders who are involved in a felony during which a murder is committed but who do not actually kill, attempt to kill, or intend that a killing take place."
123,Ford v. Wainwright,Criminal law,Capital punishment,https://www.wikipedia.org/wiki/Ford_v._Wainwright,https://supreme.justia.com/cases/federal/us/477/399/,"Ford v. Wainwright, 477 U.S. 399 (1986) A death sentence may not be imposed on the insane."
124,Breard v. Greene,Criminal law,Capital punishment,https://www.wikipedia.org/wiki/Breard_v._Greene,https://supreme.justia.com/cases/federal/us/523/371/,"Breard v. Greene, 523 U.S. 371 (1998) The International Court of Justice does not have jurisdiction in capital punishment cases that involve foreign nationals."
125,Atkins v. Virginia,Criminal law,Capital punishment,https://www.wikipedia.org/wiki/Atkins_v._Virginia,https://supreme.justia.com/cases/federal/us/536/304/,"Atkins v. Virginia, 536 U.S. 304 (2002) A death sentence may not be imposed on mentally retarded offenders, but the states can define what it means to be mentally retarded."
126,Roper v. Simmons,Criminal law,Capital punishment,https://www.wikipedia.org/wiki/Roper_v._Simmons,https://supreme.justia.com/cases/federal/us/543/551/,"Roper v. Simmons, 543 U.S. 551 (2005) A death sentence may not be imposed on juvenile offenders."
127,Baze v. Rees,Criminal law,Capital punishment,https://www.wikipedia.org/wiki/Baze_v._Rees,https://supreme.justia.com/cases/federal/us/553/35/,"Baze v. Rees, 553 U.S. 35 (2008) The three-drug cocktail used for performing executions by lethal injection in Kentucky (as well as virtually all of the states using lethal injection at the time) is constitutional under the Eighth Amendment."
128,Kennedy v. Louisiana,Criminal law,Capital punishment,https://www.wikipedia.org/wiki/Kennedy_v._Louisiana,https://supreme.justia.com/cases/federal/us/554/407/,"Kennedy v. Louisiana, 554 U.S. 407 (2008) The death penalty is unconstitutional in all cases that do not involve murder or crimes against the state such as treason."
129,Glossip v. Gross,Criminal law,Capital punishment,https://www.wikipedia.org/wiki/Glossip_v._Gross,,"Glossip v. Gross, 576 U.S. ___ (2015) The Eighth Amendment requires prisoners to show 1.) there is a known and available alternative method of execution and 2.) the challenged method of execution poses a demonstrated risk of severe pain, with the burden of proof resting on the prisoners, not the state."
130,Apprendi v. New Jersey,Criminal law,Other criminal sentences,https://www.wikipedia.org/wiki/Apprendi_v._New_Jersey,https://supreme.justia.com/cases/federal/us/530/466/,"Apprendi v. New Jersey, 530 U.S. 466 (2000) Other than the fact of a prior conviction, any fact that increases the penalty for a crime beyond the prescribed statutory maximum must be submitted to a jury and proved beyond a reasonable doubt."
131,Blakely v. Washington,Criminal law,Other criminal sentences,https://www.wikipedia.org/wiki/Blakely_v._Washington,https://supreme.justia.com/cases/federal/us/542/296/,"Blakely v. Washington, 542 U.S. 296 (2004) Mandatory state sentencing guidelines are the statutory maximum for purposes of applying the Apprendi rule."
132,Graham v. Florida,Criminal law,Other criminal sentences,https://www.wikipedia.org/wiki/Graham_v._Florida,https://supreme.justia.com/cases/federal/us/560/48/,"Graham v. Florida, 560 U.S. 48 (2010) A sentence of life imprisonment without the possibility of parole may not be imposed on juvenile non-homicide offenders."
133,Miller v. Alabama,Criminal law,Other criminal sentences,https://www.wikipedia.org/wiki/Miller_v._Alabama,https://supreme.justia.com/cases/federal/us/567/460/,"Miller v. Alabama, 567 U.S. 460 (2012) A sentence of life imprisonment without the possibility of parole may not be a mandatory sentence for juvenile offenders."
134,Chisholm v. Georgia,Federalism,Other criminal sentences,https://www.wikipedia.org/wiki/Chisholm_v._Georgia,https://supreme.justia.com/cases/federal/us/2/419/,"Chisholm v. Georgia, 2 U.S. 419 (1793) The Constitution prevents the states from exercising sovereign immunity. Therefore, the states can be sued in federal court by citizens of other states. This decision was voided by the Eleventh Amendment in 1795, just two years after it was handed down."
135,Hylton v. United States,Federalism,Other criminal sentences,https://www.wikipedia.org/wiki/Hylton_v._United_States,https://supreme.justia.com/cases/federal/us/3/171/,"Hylton v. United States, 3 U.S. 171 (1796) A tax on the possession of goods is not a direct tax that must be apportioned among the states according to their populations. This case featured the first example of judicial review by the Supreme Court."
136,Ware v. Hylton,Federalism,Other criminal sentences,https://www.wikipedia.org/wiki/Ware_v._Hylton,https://supreme.justia.com/cases/federal/us/3/199/,"Ware v. Hylton, 3 U.S. 199 (1796) A section of the Treaty of Paris supersedes an otherwise valid Virginia statute under the Supremacy Clause. This case featured the first example of judicial nullification of a state law."
137,Marbury v. Madison,Federalism,Other criminal sentences,https://www.wikipedia.org/wiki/Marbury_v._Madison,https://supreme.justia.com/cases/federal/us/5/137/,"Marbury v. Madison, 5 U.S. 137 (1803) Section 13 of the Judiciary Act of 1789 is unconstitutional because it attempts to expand the original jurisdiction of the Supreme Court beyond that permitted by the Constitution. Congress cannot pass laws that contradict the Constitution. This case featured the first example of judicial nullification of a federal law and was the point at which the Supreme Court adopted a monitoring role over government actions."
138,Fletcher v. Peck,Federalism,Other criminal sentences,https://www.wikipedia.org/wiki/Fletcher_v._Peck,https://supreme.justia.com/cases/federal/us/10/87/,"Fletcher v. Peck, 10 U.S. 87 (1810) A state legislature can repeal a corruptly made law, but the Contract Clause of the Constitution prohibits the voiding of valid contracts made under such a law. This was the first case in which the Supreme Court struck down a state law as unconstitutional."
139,Martin v. Hunter's Lessee,Federalism,Other criminal sentences,https://www.wikipedia.org/wiki/Martin_v._Hunter%27s_Lessee,https://supreme.justia.com/cases/federal/us/14/304/,"Martin v. Hunter's Lessee, 14 U.S. 304 (1816) Federal courts may review state court decisions when they rest on federal law or the federal Constitution. This decision provides for the uniform interpretation of federal law throughout the states."
140,McCulloch v. Maryland,Federalism,Other criminal sentences,https://www.wikipedia.org/wiki/McCulloch_v._Maryland,https://supreme.justia.com/cases/federal/us/17/316/,"McCulloch v. Maryland, 17 U.S. 316 (1819) The Necessary and Proper Clause of the Constitution grants to Congress implied powers for implementing the Constitution's express powers, and state actions may not impede valid exercises of power by the federal government."
141,Cohens v. Virginia,Federalism,Other criminal sentences,https://www.wikipedia.org/wiki/Cohens_v._Virginia,https://supreme.justia.com/cases/federal/us/19/264/,"Cohens v. Virginia, 19 U.S. 264 (1821) State laws in opposition to national laws are void. The U.S. Supreme Court has appellate jurisdiction for any U.S. case and final say."
142,Gibbons v. Ogden,Federalism,Other criminal sentences,https://www.wikipedia.org/wiki/Gibbons_v._Ogden,https://supreme.justia.com/cases/federal/us/22/1/,"Gibbons v. Ogden, 22 U.S. 1 (1824) The power to regulate interstate navigation is granted to Congress by the Commerce Clause of the Constitution."
143,Barron v. Baltimore,Federalism,Other criminal sentences,https://www.wikipedia.org/wiki/Barron_v._Baltimore,https://supreme.justia.com/cases/federal/us/32/243/,"Barron v. Baltimore, 32 U.S. 243 (1833) The Bill of Rights cannot be applied to the state governments. This decision has essentially been rendered moot by the Supreme Court's adoption of the incorporation doctrine, which uses the Due Process Clause of the Fourteenth Amendment to apply portions of the Bill of Rights to the states."
144,Cooley v. Board of Wardens,Federalism,Other criminal sentences,https://www.wikipedia.org/wiki/Cooley_v._Board_of_Wardens,https://supreme.justia.com/cases/federal/us/53/299/,"Cooley v. Board of Wardens, 53 U.S. 299 (1852) When local circumstances make it necessary the states can regulate interstate commerce as long as such regulations do not conflict with federal law. State laws related to commerce powers can be valid if Congress is silent on the matter."
145,Ableman v. Booth,Federalism,Other criminal sentences,https://www.wikipedia.org/wiki/Ableman_v._Booth,https://supreme.justia.com/cases/federal/us/62/506/,"Ableman v. Booth, 62 U.S. 506 (1859) State courts cannot issue rulings that contradict the decisions of federal courts."
146,Texas v. White,Federalism,Other criminal sentences,https://www.wikipedia.org/wiki/Texas_v._White,https://supreme.justia.com/cases/federal/us/74/700/,"Texas v. White, 74 U.S. 700 (1869) The states that formed the Confederate States of America during the Civil War never actually left the Union because a state cannot unilaterally secede from the United States."
147,Hans v. Louisiana,Federalism,Other criminal sentences,https://www.wikipedia.org/wiki/Hans_v._Louisiana,https://supreme.justia.com/cases/federal/us/134/1/,"Hans v. Louisiana, 134 U.S. 1 (1890) The Eleventh Amendment bars suits by citizens against their own state in federal court."
148,Pollock v. Farmers' Loan & Trust Co.,Federalism,Other criminal sentences,https://www.wikipedia.org/wiki/Pollock_v._Farmers%27_Loan_%26_Trust_Co.,https://supreme.justia.com/cases/federal/us/157/429/,"Pollock v. Farmers' Loan & Trust Co., 157 U.S. 429 (1895) Income taxes on interest, dividends, and rents are, in effect, direct taxes that must be apportioned among the states according to their populations. This decision was voided by the Sixteenth Amendment in 1913, allowing income taxes to be implemented without apportionment."
149,Swift and Company v. United States,Federalism,Other criminal sentences,https://www.wikipedia.org/wiki/Swift_and_Company_v._United_States,https://supreme.justia.com/cases/federal/us/196/375/,"Swift and Company v. United States, 196 U.S. 375 (1905) Congress can prohibit local business practices in order to regulate interstate commerce because those practices, when combined together, form a ""stream of commerce"" between the states (superseded by National Labor Relations Board v. Jones & Laughlin Steel Corporation (1937))."
150,Ex parte Young,Federalism,Other criminal sentences,https://www.wikipedia.org/wiki/Ex_parte_Young,https://supreme.justia.com/cases/federal/us/209/123/,"Ex parte Young, 209 U.S. 123 (1908) When state officers are charged with violating federal law, they cannot set up the state's federal constitutional sovereign immunity to defeat suits for prospective relief."
151,Missouri v. Holland,Federalism,Other criminal sentences,https://www.wikipedia.org/wiki/Missouri_v._Holland,https://supreme.justia.com/cases/federal/us/252/416/,"Missouri v. Holland, 252 U.S. 416 (1920) Treaties made by the federal government are supreme over any concerns brought by the states about such treaties interfering with any states' rights derived from the Tenth Amendment."
152,United States v. Wheeler,Federalism,Other criminal sentences,https://www.wikipedia.org/wiki/United_States_v._Wheeler_(1920),https://supreme.justia.com/cases/federal/us/254/281/,"United States v. Wheeler, 254 U.S. 281 (1920) The Constitution grants to the states the power to prosecute individuals for wrongful interference with the right to travel."
153,"J. W. Hampton, Jr. & Co. v. United States",Federalism,Other criminal sentences,"https://www.wikipedia.org/wiki/J._W._Hampton,_Jr._%26_Co._v._United_States",https://supreme.justia.com/cases/federal/us/276/394/,"J. W. Hampton, Jr. & Co. v. United States, 276 U.S. 394 (1928) The Separation of Powers can be side-stepped if Congress provides an ""intelligible principle"" to guide the executive branch."
154,United States v. Butler,Federalism,Other criminal sentences,https://www.wikipedia.org/wiki/United_States_v._Butler,https://supreme.justia.com/cases/federal/us/297/1/,"United States v. Butler, 297 U.S. 1 (1936) The U.S. Congress's power to lay taxes is not limited only to the level necessary to carry out its other powers enumerated in Article I of the U.S. Constitution, but is a broad authority to tax and spend for the ""general welfare"" of the United States."
155,National Labor Relations Board v. Jones & Laughlin Steel Corporation,Federalism,Other criminal sentences,https://www.wikipedia.org/wiki/National_Labor_Relations_Board_v._Jones_%26_Laughlin_Steel_Corporation,https://supreme.justia.com/cases/federal/us/301/1/,"National Labor Relations Board v. Jones & Laughlin Steel Corporation, 301 U.S. 1 (1937) The National Labor Relations Act and, by extension, the National Labor Relations Board are constitutional because the Commerce Clause applies to labor relations. Therefore, the NLRB has the right to sanction companies that fire or discriminate against workers for belonging to a union. Also, a local commercial activity that is considered in isolation may still constitute interstate commerce if that activity has a ""close and substantial relationship"" to interstate commerce."
156,Steward Machine Company v. Davis,Federalism,Other criminal sentences,https://www.wikipedia.org/wiki/Steward_Machine_Company_v._Davis,https://supreme.justia.com/cases/federal/us/301/548/,"Steward Machine Company v. Davis, 301 U.S. 548 (1937) The federal government is permitted to impose a tax even if the goal of the tax is not just the collection of revenue."
157,United States v. Darby Lumber Co.,Federalism,Other criminal sentences,https://www.wikipedia.org/wiki/United_States_v._Darby_Lumber_Co.,https://supreme.justia.com/cases/federal/us/312/100/,"United States v. Darby Lumber Co., 312 U.S. 100 (1941) Control over interstate commerce belongs entirely to Congress. The Fair Labor Standards Act of 1938 is constitutional under the Commerce Clause because it prevents the states from lowering labor standards to gain commercial advantages."
